tokens	target word	tagger tag	human tag	tp/tn
an't say like I have , so to be able to take my kids there was amaz	able	A	A	tn
making a hundred K a year , I'm able to do that . So I take them on	able	A	A	tn
t . I don't even know how I was able to go there because we lived i	able	A	A	tn
And I would like for him to be able to go there so i- I'd be close	able	A	A	tn
ut , and he did . And < name > was able to go to < school > . And so that	able	A	A	tn
was nice . That's where we were able- We had it out in her backyard	able	A	A	tn
ce back on it . So everyone was able to do that except this one . < l	able	A	A	tn
ig part of my childhood , being able like to go out and be diverse	able	A	A	tn
d so I was- I was selected and able to do that . And I was able to	able	A	A	tn
he things that my parents were able to give me , I wanted to always	able	A	A	tn
< school > . Yes I do . Cause I'm able to focus and when I really nee	able	A	A	tn
hile and- til that- we weren't able to maintain a cohesive househo	able	A	A	tn
hool that I know that might be able to do something like that is l	able	A	A	tn
y you term- I wanted her to be able to get along with all people c	able	A	A	tn
I was turn eighteen , and I was able to actually legally go out wit	able	A	A	tn
tell everything . But um , to be able to use the comparison between	able	A	A	tn
respect the fact that she was able to do what she did by herself .	able	A	A	tn
< name > made sure that we were able to experience different things	able	A	A	tn
ted States cause I do wanna be able to take my mom p- like I don't	able	A	A	tn
messed up my voice , so I'm not able to sing now , but I did some si	able	A	A	tn
that was the only way she was able to stay in the city . Mm-hm . Mm	able	A	A	tn
u know he never t- I never was able able to go with him hunting . C	able	A	A	tn
out those bands and they'll be able to tell you something about ' e	able	A	A	tn
n just speak for them I may be able to push someone enough to for	able	A	A	tn
nfluences to be at . I wanna be able to- I want to get to that poin	able	A	A	tn
So it's like , I just wanna be able to influence anybody , new peop	able	A	A	tn
want- I want to- I want to be able to spark something in somebody	able	A	A	tn
Big Pun's son . You know , I was able to actually communicate with h	able	A	A	tn
Like , um , for instance , I was able to- I was able to actually lik	able	A	A	tn
got to the Roc Awards , and was able to perform at the Roc Awards .	able	A	A	tn
would say it , when you're not able to focus solely on the artistr	able	A	A	tn
ng . Um , we always kind of were able to maintain . My stepfather wor	able	A	A	tn
y few people this story , I was able to get an apartment . At thirte	able	A	A	tn
But yes , I went to high- I was able to get into high school . And-	able	A	A	tn
any point . To help- To put- Be able to put- Cause you know , when y	able	A	A	tn
care of us , so you need to be able to take care of yourself . And	able	A	A	tn
in the evening . I would not be able to retire in this city and liv	able	A	A	tn
It's- You- You gonna have- be able- It won't be taxation without	able	A	A	tn
know , I said , I'm not gonna be able to afford to live here . It jus	able	A	A	tn
ee , DC was built for you to be able to use public transportation .	able	A	A	tn
then . The only reason she was able to still stay in the city was	able	A	A	tn
Seventh Street . And so she was able you know to move into Asbury D	able	A	A	tn
x myself in How- to only being able to go or obtain knowledge in t	able	A	A	tn
hat's all I want her to do . Be able to take care of yourself . And	able	A	A	tn
financial aid . You used to be able to borrow how much you wanted	able	A	A	tn
My niece wasn't- ?? she wasn't able to make it cause she was still	able	A	A	tn
can't do he's gonna be able to find things that people can	able	A	A	tn
very fortunate , he's gonna be able to do things that other people	able	A	A	tn
sed , wrongfully imprisoned was able to hold out and eventually com	able	A	A	tn
over here , so I call and I was able to get the apartment . So I wen	able	A	A	tn
Income had kicked in , so I was able to get a check every month and	able	A	A	tn
' t illegal you know but he was able to like i- you know , issue out	able	A	A	tn
ing out of it . So , uh , we were able to close about maybe three or	able	A	A	tn
It's nothing that you gonna be able to do because you a kid yourse	able	A	A	tn
me not you know , b- get- being able to get no help , nobody didn't	able	A	A	tn
d so , uh , we haven't ever been able in America to spread out like ,	able	A	A	tn
me for my physical , she wasn't able . And they called and ask would	able	A	A	tn
y didn't , I wouldn't have been able to get insurance and stuff lik	able	A	A	tn
w- You have to learn how to be able to talk to people and stuff li	able	A	A	tn
any was like , I'm not gonna be able to go . She was like , um , I got	able	A	A	tn
ably coincided with them being able to move to Virginia cause Virg	able	A	A	tn
t set . Mm-hm . Um , so they were able you know- they weren't caught	able	A	A	tn
rough . Sorry . Um , so they were able to- You know , my Uncle < name >	able	A	A	tn
e in those ten years , if we're able to clean up these projects , an	able	A	A	tn
le I got used to it . And I was able to go . So that was my funny st	able	A	A	tn
e that- they may not have been able to teach them to grade level .	able	A	A	tn
uh . I- I'm fortunate that I'm able to work and I think it's I'm h	able	A	A	tn
- uh , Barack Obama hadn't been able to do a whole lot for our comm	able	A	A	tn
s today and maybe you could be able to do something about that . Bu	able	A	A	tn
en you came back , uh , you were able to get a loan for housing , pos	able	A	A	tn
hours straight . I haven't been able to do that yet but it's gonna	able	A	A	tn
es that I have . And just being able to perfect my public speaking	able	A	A	tn
ond memory is mm , going- being able to ha- being the oppor- given	able	A	A	tn
en to New York but like , being able to go out there for the first	able	A	A	tn
at opportunity . And just being able to go to Birmingham , which was	able	A	A	tn
I really love to do . And being able to do community service in a w	able	A	A	tn
ome out to the church . Just be able to vent or talk about their pr	able	A	A	tn
great . Uh , anyway , just being able to vent about stuff like that ,	able	A	A	tn
but I feel like you should be able to speak it out first before l	able	A	A	tn
ust alive . He just wants to be able to breathe the air that peo- t	able	A	A	tn
so I'll be good . I'll still be able to come to the Boys and Girls	able	A	A	tn
o hand combat instead of being able to just sh- fire away . And the	able	A	A	tn
d all those systems , and being able to play each system and realiz	able	A	A	tn
m grateful just to- just to be able to get back here . You know . < e	able	A	A	tn
et older , i- they not gonna be able to do all them steps , you know	able	A	A	tn
hing like that . And like being able to like play those games like	able	A	A	tn
rep. Very hood-like . And being able to see a white couple just wal	able	A	A	tn
expensive up there . But being able- like to see them , these two c	able	A	A	tn
l . And I just feel like , being able to tour DC by myself when I di	able	A	A	tn
y knows where DC is . And being able to claim DC like , it just make	able	A	A	tn
e people became mobile and was able , uh , to- to move out . As I und	able	A	A	tn
se years . You know , I wanna be able to make a decent salary , and t	able	A	A	tn
< name > a smart kid , so she was able to do really well in all the s	able	A	A	tn
a- I had to come out . I wasn't able to finish w- for- < school > bec	able	A	A	tn
it's j- it's just- just being able to go outside and just hang wi	able	A	A	tn
n't sophisticated enough to be able to tell dialects at that time ,	able	A	A	tn
Southern practices , and being able to take care of , uh , different	able	A	A	tn
time in my life , and I was a- able to interact with a lot of de-	able	A	A	tn
ys , especially you know , being able to watch all the games . I've b	able	A	A	tn
eing able to communicate differently wit	able	A	A	tn
. Yes . And I- And I love being able to have that dialect . I love b	able	A	A	tn
was something that I was never able to do at < work > , you know . And	able	A	A	tn
is somebody that you should be able to call on and rely on in like	able	A	A	tn
we can play music , that we're able to relate to , or talk about < t	able	A	A	tn
boundaries out but also being able to be heard and be visible and	able	A	A	tn
ally , uh- afar I have not been able to- < laugh > Mm-hm < ts > I've- I	able	A	A	tn
tenth graders there . So he was able to handle a less amount of kid	able	A	A	tn
together like this , like I was able to help her , I was like , I cou	able	A	A	tn
lly let Walmart in DC ? Why you able to- Th- you have- the things t	able	A	A	tn
hat need freedom , I need to be able to do it when I want to , so it	able	A	A	tn
was set up she wasn't gonna be able to do her job as expected beca	able	A	A	tn
, bless my finances so I'll be able to do X , Y , Z for my son or wh	able	A	A	tn
r four places for people to be able to live affordably . And not ch	able	A	A	tn
people . N- everybody should be able to live in a home , no one shou	able	A	A	tn
up here cause I ain't gonna be able to afford that . Two thousand d	able	A	A	tn
money from high school . I was able to stack that up , get ready to	able	A	A	tn
really wouldn't know until we able to fight for the cause and get	able	A	A	tn
hole time . But you'll never be able to know that until you open yo	able	A	A	tn
isten to the spaces . And being able to create something not from n	able	A	A	tn
e was great . Um . We used to be able to let our dog out , and she ju	able	A	A	tn
um , my mom was like , we may be able to get our old house back . I w	able	A	A	tn
it back honestly , but we were able to get that house , it was nice	able	A	A	tn
hen we do- I mean- When we are able to see each other , we- we embr	able	A	A	tn
we- when we do or when we are able to get together , we just like ,	able	A	A	tn
sses . So that's how I w- I was able to introduce , to have conversa	able	A	A	tn
een for a while . But they were able to keep it kind of quiet . And	able	A	A	tn
vel . Where both sides would be able to compromise to say , alright	able	A	A	tn
ill concern that we may not be able to move remove snow . I'm think	able	A	A	tn
- these restaurants that we're able to go to . Uh , except what- Do	able	A	A	tn
ow , my school allowed me to be able to again be that chameleon and	able	A	A	tn
be able to kind of just blend and fit	able	A	A	tn
r about it . I appreciate being able to go out locally . And have th	able	A	A	tn
ssing that I am still here and able to- to talk about it because a	able	A	A	tn
necessarily work for me , I was able to experience them . And I thin	able	A	A	tn
think I'm more focused and I'm able to prioritize , I'm able t- to	able	A	A	tn
it has in the past because I'm able to like I said , prioritize my	able	A	A	tn
assroom because you have to be able to be focused , you have to be	able	A	A	tn
as given to the person who was able to pay for it to bring it out .	able	A	A	tn
I'm saying , you supposed to be able to see a nigga coming from dow	able	A	A	tn
d better . Cause we'd have been able to really get into clubs , you	able	A	A	tn
laid off and- so they weren't able to keep up that lifestyle , so	able	A	A	tn
ed to be friends , we should be able to trust each other . And that	able	A	A	tn
make sure I was able to give her . And that was the	able	A	A	tn
over that fact , then we'll be able to conquer this whole thing an	able	A	A	tn
um , and- which allows me to be able to work more independently , yo	able	A	A	tn
a little scuffle . End up I was able to beat the boy . < laugh > And t	able	A	A	tn
out there , supposed to stay be able to stand his ground you know ?	able	A	A	tn
his arm , that hooks on . He was able to get the briefcase off the g	able	A	A	tn
s getting new ones . So , we was able to get their books . And now , w	able	A	A	tn
ing today and- and sell and be able to pay off your bill . And then	able	A	A	tn
ly impressed me was how he was able to um get the film from the gu	able	A	A	tn
was able to reach it , I stopped pushing	able	A	A	tn
l , and as he got larger he was able to reach it you know ? When he	able	A	A	tn
we had to do and , um , still be able to run a office at the same ti	able	A	A	tn
, people who grew up here were able to start on they own . And I th	able	A	A	tn
tle bit more , you would uh , be able to appreciate it more . Therefo	able	A	A	tn
t , c- w- At the time , you wont able to get into it no way . If you	able	A	A	tn
your mother wouldn't have been able to- to have that type of large	able	A	A	tn
is brother , then you should be able to play . I couldn't play at al	able	A	A	tn
I went when I was five , I was able to go to I was is the first gr	able	A	A	tn
nday through Friday . And I was able to actually , save money toward	able	A	A	tn
ound to make sure you gonna be able to receive instructions and , u	able	A	A	tn
in basic training , < ts > I was able to um , I was given a position	able	A	A	tn
nated me from having to- being able to go outside of the United St	able	A	A	tn
rk as it was , they wouldn't be able to see ' em . And I went back to	able	A	A	tn
les from Goldsboro . And he was able to- he was in the military . He	able	A	A	tn
regards to who I was gonna be able to , you know- who- who did I t	able	A	A	tn
is that , um , the reason I was able to work that hard is because o	able	A	A	tn
immune system , where I wasn't able to fight off a lot of- yeah . A	able	A	A	tn
know , them dying or not being able to be- you know , grow up and e	able	A	A	tn
t- cause you different . And be able to fight the vampires head up .	able	A	A	tn
om our earth , how would you be able to keep track of time ? It's im	able	A	A	tn
as a reality to me , so . And be able to come from that and to be wh	able	A	A	tn
know , in regards to just being able to you know , or I'm not gonna-	able	A	A	tn
tures . And you know , and being able to- it made me learn m- more a	able	A	A	tn
et used to something you'll be able to build up a tolerance for it	able	A	A	tn
given the fair treatment to be able to stay in their homes , especi	able	A	A	tn
now that we , you know , we were able to get , you know , we can get i	able	A	A	tn
so that you can , you know , be able to bring in somebody who's abl	able	A	A	tn
my LPN in ten months and being able to actually work in the field ,	able	A	A	tn
uh counselor said I should be able to uh do the work , so what and	able	A	A	tn
al thinking , you know , we were able to figure it out , even if you	able	A	A	tn
get a proper education and be able to , um , you know , be exposed t	able	A	A	tn
ection of the city ? Then we be able to travel everywhere we want t	able	A	A	tn
know , new things that will be able to , you know , benefit him in t	able	A	A	tn
dence academically , what I was able to do and what type , you know ,	able	A	A	tn
know , have to- well when I was able to go by myself , a bunch of us	able	A	A	tn
f myself that , you know , I was able to , um , yeah . I y- I used to-	able	A	A	tn
f people- Vocab and just being able to communicate overall , it's-	able	A	A	tn
other students , but they were able to , to take him . Well the teac	able	A	A	tn
, was owned by us . So , you was able to , uh , go in those stores in	able	A	A	tn
g they're paying attention and able to absorb what the- this speci	able	A	A	tn
whether we were gonna still be able to graduate early . And so I en	able	A	A	tn
them , and they seem not to be able to get along . And so then they	able	A	A	tn
a year older , so you won't be able to be here . We got to send you	able	A	A	tn
you might- everybody might be able to only grow two plants cause	able	A	A	tn
an , it- it was some shit I was able to get into , you know what I m	able	A	A	tn
ght be stuck . You might not be able to g- like Boosie said one day	able	A	A	tn
when we was little that we was able to be like , what the fuck is t	able	A	A	tn
hat I'm saying . And niggas was able to understand where niggas was	able	A	A	tn
two thousand two . And we were able to get ' em all rented up in le	able	A	A	tn
things are not gonna be really able to afford them , and I don't kn	able	A	A	tn
and we need more leaders to be able to come in and pursue these ki	able	A	A	tn
m all under my wing , and me be able to touch them all how I want t	able	A	A	tn
that stuff . Cause I want to be able walk anywhere and ain't got to	able	A	A	tn
led for the simple fact I wont able to hold no steady jobs , so . Mm	able	A	A	tn
, so I was thankful that I was able to help ' em . Mm-hm . Okay , the	able	A	A	tn
e to get out , and- So I'm'a be able to work , so I say , I better- I	able	A	A	tn
hy . And uh , uh , luckily we was able to put it out ourselves but th	able	A	A	tn
ter . And it lucky that she was able to drive her car through . Just	able	A	A	tn
h > probably wouldn't have been able to get in there . But we had pe	able	A	A	tn
ee that . You know , we wanna be able to run our own town and handle	able	A	A	tn
ying . It's my foundation to be able to have opportunity to do more	able	A	A	tn
k nice , but I would love to be able to afford to < laugh > live in t	able	A	A	tn
ets here . They- they should be able to feel like I belong here . Uh	able	A	A	tn
ongregation here , would not be able to live in this neighborhood .	able	A	A	tn
would not have I would not be able to learn enough fast enough th	able	A	A	tn
as fast as I could . And I was able to organize the police and som	able	A	A	tn
n two thousand and four , I was able to put a plan together in whic	able	A	A	tn
thing that they ask me . If I'm able to do it , I will do it . That's	able	A	A	tn
een years at that point . I was able to do that because I was able	able	A	A	tn
different issues and that was able to put all of that action into	able	A	A	tn
e of ' em a car , you know , they able to drive . And then set up a bi	able	A	A	tn
u know sometimes I wouldn't be able to say that because i- you can	able	A	A	tn
a l- I like that . I like being able to walk out my door and go aro	able	A	A	tn
en . Their children ought to be able to- to to feel the vibrancy of	able	A	A	tn
usband's salary , you should be able to buy your first little condo	able	A	A	tn
ay is out there . Until we were able to get our paperwork and every	able	A	A	tn
re all the people had- uh , was able to get out . Cause some of the	able	A	A	tn
won this election , what he was able to do in terms of working thro	able	A	A	tn
t's what it was . And not being able to see myself past forty , caus	able	A	A	tn
' t have a dream , but not being able to formulate , it allowed for a	able	A	A	tn
ow , and be able to teach them anything . But I	able	A	A	tn
you- that you are going to be able to get along with them . You kn	able	A	A	tn
, I got in her class and I was able to understand really what she	able	A	A	tn
couple of dances , and I can be able to do it . No , this about anywh	able	A	A	tn
had to do before you would be able to put the home here . You know	able	A	A	tn
ng what they need to do and be able to go back in there- in societ	able	A	A	tn
, I think it's important to be able to , you know , to talk about it	able	A	A	tn
r things going on , but she was able to revive enough and come back	able	A	A	tn
aid , I'm not religious , so I'm able to deliver and still have fun	able	A	A	tn
ry hour on the hour , and I was able to work around my work schedul	able	A	A	tn
n twenty thirteen . Uh , we were able to move here , and God miraculo	able	A	A	tn
usly worked it out . We were able to sell our home and move here	able	A	A	tn
to the church . You know , we're able to help people physically and	able	A	A	tn
I don't want people to ever be able to pinpoint that . D- first of	able	A	A	tn
I've never felt like I've been able to save up enough money to be	able	A	A	tn
mewhere . Like , I've never been able to keep a job that I punch in	able	A	A	tn
the neighborhood . Well , I was able to go to < school > simply becau	able	A	A	tn
o my mom working there we were able to go there um , until we were	able	A	A	tn
he school system , uh , you were able to , uh , < ts > go to the school	able	A	A	tn
um , it's , you know , good to be able to know god . And to trust him .	able	A	A	tn
single parent . And his kid was able to make it in- When the kid go	able	A	A	tn
ve had were teachers that were able to do this . And I did have sev	able	A	A	tn
looking for him , and he wasn't able to stay in the town . They stil	able	A	A	tn
in these countries , uh , to be able to treat the people there . Mm-	able	A	A	tn
ggling- struggling . Never were able to kind of recover . But um , I	able	A	A	tn
out . And he expected you to be able to tell exactly what was in th	able	A	A	tn
had been put in jail uh , were able to run out of jail and hide ag	able	A	A	tn
was it back to the can who was able to kick the can , he could run	able	A	A	tn
m some of that . And just being able to , uh , enjoy nature and you k	able	A	A	tn
have the proper training to be able to train the next generation b	able	A	A	tn
m know that we're not gonna be able to have open casket , do you ha	able	A	A	tn
ts and things when I should be able to , you know . You know , my fam	able	A	A	tn
ff like that , you shouldn't be able to- you shouldn't be using tha	able	A	A	tn
can do this , you not gonna be able to do nothing , you gonna be st	able	A	A	tn
ecause I never thought we'd be able to live in that type of neighb	able	A	A	tn
like , with preregistration I'm able to like mentally prepare for w	able	A	A	tn
and I've been lucky I've been able to get all the classes I sign	able	A	A	tn
like with preregistration I'm able to like know what's gonna happ	able	A	A	tn
so like I'm okay cause I- I'm able to like assess everything and	able	A	A	tn
I think for my dad just being able to pay for things cause like m	able	A	A	tn
, excuse me . < yawns > Not being able to find a job . Nobody wanting	able	A	A	tn
ut the certain things , we were able to discuss uh , the overall s-	able	A	A	tn
what I'm saying . So , and I was able to put some money back . You kn	able	A	A	tn
ot correct , don't you wanna be able to- be able to correct it ? Wel	able	A	A	tn
I'm saying , because I wanna be able to be a help to my community a	able	A	A	tn
r kids , which is why it's been able to stay mostly black . Um , caus	able	A	A	tn
e with uh , me , you know , being able to ride my bike with at least	able	A	A	tn
mall class sizes , people being able to work with you , I didn't hav	able	A	A	tn
the fall semester , I might be able to bring my car for the spring	able	A	A	tn
know I like to have just to be able to learn . So um , < ts > I was ex	able	A	A	tn
I get that age , I don't d- be able to say those words . I- I want	able	A	A	tn
be once or twice . You gotta be able to come back with the shit , yo	able	A	A	tn
fore it got notified . So I was able to put that back . You know wha	able	A	A	tn
n seventy and on where we were able to go to these schools . And we	able	A	A	tn
tball for two years then I was able to play contact football , whic	able	A	A	tn
luggage that I've finally been able to afford to add to . No , it wa	able	A	A	tn
ns limited me from- from being able to enjoy some of the activitie	able	A	A	tn
where to go and you know , just able to you know , make all the plan	able	A	A	tn
ways follow him , so . You know , able to make you know decisions or	able	A	A	tn
she was able to go abroad a couple of times	able	A	A	tn
idn't have . I wanted her to be able to see some of the world . And	able	A	A	tn
ught you'd never be able to do , travel , eat well , trave	able	A	A	tn
ike , what if I would have been able to stay ? What if I would have-	able	A	A	tn
ock on wood on that . I've been able to , uh , travel abroad I- I nev	able	A	A	tn
m a poor perspective and being able to do some things that you tho	able	A	A	tn
York . You know . Cause I wasn't able to find um , housing over here .	able	A	A	tn
ght it was amazing that he was able to kind of l- put this new typ	able	A	A	tn
e , you know , the other team is able to notice me then they'll be s	able	A	A	tn
here was no telling when I was able to catch a asthma attack . And	able	A	A	tn
een very good but haven't been able to be really outstanding teach	able	A	A	tn
movie . Well a movie has to be able to continually hold my interes	able	A	A	tn
n welfare . Um , so she would be able to take care of me . And my fat	able	A	A	tn
uld have much rather have been able to stay in < school > and do it	able	A	A	tn
t seemed that he was uh , quite able to uh , relate to the neighborh	able	A	A	tn
my friends and you know , were able to do . And- < ts > Yeah . I- I- t	able	A	A	tn
ood education was key to being able to take advantage of those opp	able	A	A	tn
dn't realize , like , that I was able to keep up with the work I gue	able	A	A	tn
ctually in that I- when you're able to , like , teach something to s	able	A	A	tn
emale students . And , um , I was able to drop everybody else off , an	able	A	A	tn
udents of color actually being able to even make it to this level	able	A	A	tn
regret , cause I mean I've been able to have a new car off the shor	able	A	A	tn
that sense of , um , < ts > being able to be part of something . I thi	able	A	A	tn
pportunities . People have been able to succeed in life and do all	able	A	A	tn
u know coming up poor and been able to actually , afford a couple o	able	A	A	tn
or in training , and so I'm not able to spend a lot of time . I'm go	able	A	A	tn
er thought I'd be able to do that . But I've been to G	able	A	A	tn
er wasn't really there . He was absent father , but when he- Father go	absent	A	A	tn
ays old . So- Uh , my heart . Mm , absolute heart . It was a blessing . It w	absolute	A	A	tn
dding where the caterer was an absolute diva . And matter of fact I've	absolute	A	A	tn
r given me any trouble . I mean absolutely- You know , there have been lit	absolutely	R	POSTVB	tp
ll be four years in January . I absolutely freaking love it , it's so awes	absolutely	R	PREVB	tp
like- like- ( laughing ) . like , absolutely amazing like absolutely amazin	absolutely	R	PREJJ	tp
' s right , you're gonna give me absolutely nothing . So , you know just lea	absolutely	R	POSTVB	tp
you wanna work here ? I said , I absolutely do . He says , okay . He says , th	absolutely	R	PREVB	tp
on U Street . Ben's Chili Bowl , absolutely remember Ben's . I mean , you ha	absolutely	R	PREVB	tp
um , family life . It w- it was absolutely amazing . And I have a story . (	absolutely	R	PREJJ	tp
r bachelor's degree , you would absolutely get in . But they said , you kno	absolutely	R	PREVB	tp
structure . But just this- this absolutely wonderful woman who had these	absolutely	R	NPAM	tp
hing . Yeah , yeah . True . That's absolutely right . Mm-hm . Hold on a sec . M	absolutely	R	PREJJ	tp
of- all kinds of things and so absolutely I'm a proud Washingtonian . Now	absolutely	R	PREVB	tp
I really would . No . Yeah . I- I absolutely agree . I- It's a job . It's , uh	absolutely	R	PREVB	tp
ing to do . You know , there was absolutely nothing to do . You either had	absolutely	R	POSTVB	tp
h . What about it ? Mm-hm . Um , I absolutely hated elementary school , but I	absolutely	R	PREVB	tp
And I also think that- yes . I absolutely agree with you . I'm- it's alwa	absolutely	R	PREVB	tp
this , I hated the projects . I absolutely hated the concrete , the brick ,	absolutely	R	PREVB	tp
life would hold for me . I just absolutely- and it wasn't- it wasn't that	absolutely	R	PREVB	tp
m-hm . Uh , y- know what , you're absolutely right because it g- it might g	absolutely	R	PREJJ	tp
always entertain . Mm-hm . < ts > Absolutely not . No no no , that was litera	absolutely	R	POSTVB	tp
ection you couldn't . There was absolutely zero amount of water . Yeah . Ye	absolutely	R	NPAM	tp
there so- but in the evenings absolutely not , I would never . Um , I like	absolutely	R	POSTVB	tp
I feel that there is nothing , absolutely nothing that can be done until	absolutely	R	POSTVB	tp
learned how to survive . Yeah . Absolutely . Mm . I didn't really have- uh ,	absolutely	R	POSTVB	tp
ably f- Yeah . Yeah , hell yeah , absolutely . Um , fucking Mila J , fucking J	absolutely	R	POSTVB	tp
xx , probably the dopest . Yeah , absolutely . He's definitely- he's the new	absolutely	R	POSTVB	tp
any painting . Either uh , semi abstract or still lifes , s- something l	abstract	A	A	tn
nal expression is- is normally abstract . It's normally , you know what	abstract	A	A	tn
s there . Like , they would make absurd complaints about us . Oh , there	absurd	A	A	tn
he was like very like verbally abusive like , he would be like , oh you	abusive	A	A	tn
ave to always use force . Or be abusive to the community to get law an	abusive	A	A	tn
g that he had- you know he was abusive he had beaten her and everythi	abusive	A	A	tn
better . So it was- w- It was a academic competition , so it's- a compet	academic	A	A	tn
> that was more of the- like a academic school . Um , so just depending	academic	A	A	tn
in like a better environment- academic environment when I went to < sc	academic	A	A	tn
ucation . I had a very rigorous academic experience at < school > and I a	academic	A	A	tn
d to go to < school > which is a academic high school . I kind of regret	academic	A	A	tn
learn from it . < school > , as an academic institution , has a very strong	academic	A	A	tn
It really was . Um , so for the academic experience , truly appreciate t	academic	A	A	tn
cause you went from having two academic teachers to having four . And h	academic	A	A	tn
ve had to take with her . So my academic advisor told me that you could	academic	A	A	tn
e don't have- there's a lot of academic bashing that , oh , you have to	academic	A	A	tn
she got a partial scholarship- academic scholarship for Penn State , Un	academic	A	A	tn
, they- uh , < school > put me on academic probation . And then the next s	academic	A	A	tn
o you have different levels of academic rigor . You know ? I don't know .	academic	A	A	tn
I did study ? Mm . Well , I had a academic course , so I had uh , Governmen	academic	A	A	tn
ng , but that's not you know , a academic course . That's a Business , but	academic	A	A	tn
thing was that I had been in a academic course Which really prepared m	academic	A	A	tn
school right now . I was in uh , academic course . Took uh- You want- You	academic	A	A	tn
that you didn't get , like , an academic job ? Like , literally that's I	academic	A	A	tn
and um it is a very very good academic school . It's um it's a school-	academic	A	A	tn
' m trying to , like , apply for academic jobs , cause , that's a major co	academic	A	A	tn
ically , like , you didn't get a academic job so they maybe think that I	academic	A	A	tn
ve now , I still go to the same academic conferences , that , uh , you kno	academic	A	A	tn
personality traits of an aca- academic , but I also care about social	academic	A	A	tn
gan to , um , gain my confidence academically , what I was able to do and wha	academically	R	POSTVB	tp
ry strong reputation as a very academically rigorous school that you can g	academically	R	NPAM	tp
er . And so although I did well academically , I had a- an- a guidance couns	academically	R	POSTVB	tp
od grades , still wanting to be academically successful , cause that's impor	academically	R	PREJJ	tp
sn't really fully prepared um , academically , and that was heartening . But	academically	R	POSTJJ	tp
to , you know , challenge myself academically . Um , a- a- and just trying to ,	academically	R	POSTVB	tp
ng these types of < ts > academ- academically , um , excelled children , right ?	academically	R	NPAM	tp
< ts > The education was there . Academically I fit the education . So this w	academically	R	PREVB	tp
