tokens	target word	tagger tag	human tag	fp/fn
g would actually make you move different and put a- a whole nother pers	different	A	POSTVB	fn
e children . Said cause she did different with < name > than she did with	different	A	POSTVB	fn
re dealing with drugs entirely different , you know . Cause back then whe	different	A	POSTVB	fn
nd they're not treating us any different . In fact , they treating us wor	different	A	POSTVB	fn
ean just- The minds just think different . You know different things , an	different	A	POSTVB	fn
t different . Then if you go to uh- like a	different	A	POSTVB	fn
ourse . Somebody gonna wanna me different . Oh , I'm'a wear black because	different	A	POSTVB	fn
ke you said , I'd do everything different . < laugh > Mm , well , no , I m- no	different	A	POSTVB	fn
heir littler people look at me different . Like , wow . That's Big Shot , l	different	A	POSTVB	fn
kids too . But they treated us different , so it was like , y'all are ner	different	A	POSTVB	fn
brother , turned out completely different . Uh , so it's a lot of- it was-	different	A	POSTVB	fn
that or I should do something different . So , when you- when you come u	different	A	POSTVB	fn
for me . I- I m- I made myself different . I performed different . I oper	different	A	POSTVB	fn
ke you look at things a little different , you feel . Yeah , the weed , yea	different	A	POSTVB	fn
definitely feel like talk very different when I'm around them . Um , you	different	A	POSTVB	fn
s . People start doing a little different . You start seeing some breakth	different	A	POSTVB	fn
ck up . I said , well , they send different man , you know . I didn't know .	different	A	POSTVB	fn
he culture . You mighta reacted different . Behind- Yeah . Yeah . ( laughing	different	A	POSTVB	fn
e shoes- same shoes look- look direct look just like them shoes , ain	direct	A	POSTVB	fn
Now from- from school , it was direct home . Then I had to , you know ,	direct	A	POSTVB	fn
ust bare fists . No , they fight dirty , go pick up bottles , knives , a	dirty	A	POSTVB	fn
nowadays so it's- it's kind of easily for m- it's- it's easier for m	easily	R	A	fp
e , you know , it was easy- more easily for me to be influenced to do ,	easily	R	A	fp
like I try to treat everybody equal . No matter what color you is .	equal	A	POSTVB	fn
king love it , it's so awesome . Especially in this area . It's really fun .	especially	A	POSTVB	fn
o I'll say no . Yes . She was uh exact spunctuous When she said anyth	exact	A	PREJJ	fn
n for awhile . Oh yes , they did excellent . Yes , they did . It surprise ev	excellent	A	POSTVB	fn
. We was living kind of ghetto fabulous in the seventies , like like wo	fabulous	A	POSTVB	fn
recorder can see , but I'm very fair complected . Everyone in my hou	fair	A	PREJJ	fn
u started to see certainly the Federal Government start to invest mon	federal	R	A	fp
up there on the corner ? He ran flat past the police . The police tr	flat	A	POSTVB	fn
d she just run around the yard free , without a leash . Now we gotta	free	A	POSTVB	fn
anna do those things like that free . Who would help out , oh don't	free	A	POSTVB	fn
at they going there cooking it fresh in the back , no they not doing	fresh	A	POSTVB	fn
a . And go to Atlanta and start fresh . Charlotte gave me that opport	fresh	A	POSTVB	fn
like a good time to- to start fresh . Start new . Leave some heart a	fresh	A	POSTVB	fn
one of my best friends liked- funny enough , the second day of scho	funny	A	POSTVB	fn
eaking S- Mexican , he talk all funny when he say it . < clears throat	funny	A	POSTVB	fn
he section eight in Alexandria funny enough , it was very integrated	funny	A	POSTVB	fn
e , they would just look at you funny like where are you from or why	funny	A	POSTVB	fn
ke- They talk funny . They definitely talk funny an	funny	A	POSTVB	fn
e city , and they think we talk funny , and they talk crazy to me . Li	funny	A	POSTVB	fn
o Syracuse , they think we talk funny . Mm-hm . Mm-hm . Mm . Mm-hm . Yeah	funny	A	POSTVB	fn
y . Like a tour bus . I would be gladly to lead that one . Ugh , that qu	gladly	R	A	fp
m'a take care of it . I got you good . So he called , and they ta- I	good	A	POSTVB	fn
erything . They're doing really good , I- I like Black Alley . Yeah I	good	A	POSTVB	fn
an't even get through the door good . They like , we gonna dance , we	good	A	POSTVB	fn
s , and they were really biting good that day too . We were catching	good	A	POSTVB	fn
know , they were really biting good that day . And then one time we	good	A	POSTVB	fn
u so mad ? So he didn't take it good , and I didn't- and then we sto	good	A	POSTVB	fn
r , so I believe , like , if I do good at my job , I'm- I'm'a continue	good	A	POSTVB	fn
ho- people who um- Y'all doing good too . And that's when you come	good	A	POSTVB	fn
- she- she doing really really good for Princeville . Yes she is . S	good	A	POSTVB	fn
is , coming up real nice . Doing good ain't it ? It sure is . That's r	good	A	POSTVB	fn
re doing fine . Yeah , I'm doing good . < laugh > But come back three o	good	A	POSTVB	fn
- I think we use the term real good , like bae , we came up with bae	good	A	POSTVB	fn
doing alright . You keep doing good and keep getting up . That's al	good	A	POSTVB	fn
men does not- did not sit real good with people . You can say no pa	good	A	POSTVB	fn
y , but that don't sit real good with people . Oh yeah , everyone	good	A	POSTVB	fn
d . You know , we- I communicate good with my assistant uh , chief an	good	A	POSTVB	fn
friends , you know , he's doing good despite of , an- in high school	good	A	POSTVB	fn
said . And he- he couldn't talk good . So . I said , I told him I brou	good	A	POSTVB	fn
r , I always had money , dressed good , know everybody . And just show	good	A	POSTJJ	fn
of them . They were- did really good . And at the same time um , < nam	good	A	POSTVB	fn
m doing electronics which pays good , you know , but I'm not in the	good	A	POSTVB	fn
ville , and uh , they love it so good so um , I think I can , you know	good	A	POSTVB	fn
in three months , you're doing good . But don't forget to go to ? s	good	A	POSTVB	fn
would always say , mama , he did good , even though he didn't , you kn	good	A	POSTVB	fn
to help everybody and they did good . < laugh > Cause I said , Lord , j	good	A	POSTVB	fn
e said , yeah , just wrap her up good . And that's what I did . And I	good	A	POSTVB	fn
a bat and a ball , we was doing good . We m- We may not even had a g	good	A	POSTVB	fn
him but we can understand him good now . Him and his mother and hi	good	A	POSTVB	fn
em but um , if we know ' em real good , and they bad and everything ,	good	A	POSTVB	fn
anyway I think everything went good . It- cause n- uh- they was bri	good	A	POSTVB	fn
like it's some nights we play good , defense , everything . We- I th	good	A	POSTVB	fn
? I think they're doing pretty good man , they just need another ke	good	A	POSTVB	fn
didn't know he could dance so good .	good	A	POSTVB	fn
ife and just sit back and live good . Wu- Well see I drive truck , y	good	A	POSTVB	fn
t all depends on the band . How good they do they craft . Right . And	good	A	PREVB	fn
how good they do they music , how they p	good	A	PREVB	fn
hem that , uh , they wanna sleep good at night and don't feel any gu	good	A	POSTVB	fn
is wife and I , we get along so good that- You know , because I don '	good	A	POSTVB	fn
s- I think I did . I did pretty good . I did pretty good in school .	good	A	POSTVB	fn
y said once you get up it ride good . But I don't want to find out .	good	A	POSTVB	fn
than me . Well she's doing real good . Which one ? Oh my god , yes . It	good	A	POSTVB	fn
thriving . She's thriving real good . Sometime I think she's thrivi	good	A	POSTVB	fn
don't know someone get in you good . But if they know it's on you ,	good	A	POSTVB	fn
ually I hadn't did good at all . Boy I had onl- woo , I	good	A	POSTVB	fn
d that- Me and mama hadn't did good . You know what I'm saying . Act	good	A	POSTVB	fn
ey say , well , y'all guys doing good . We d- we don't need to babysi	good	A	POSTVB	fn
pretty good . I watch it now . Yes . Well I g	good	A	POSTVB	fn
ers , um- We work together real good . I thank God for that . I have	good	A	POSTVB	fn
unteer , that doesn't speak too good English in there . And they sai	good	A	POSTVB	fn
Barbara Parkins , she's dresses good in the picture and everything	good	A	POSTVB	fn
e car . And I like ' em to dress good . I like ' em to dress well and	good	A	POSTVB	fn
know , he could play cards real good . And so one day , Luke said tha	good	A	POSTVB	fn
ight . Yeah . And you been doing good , but I just want you to get yo	good	A	POSTVB	fn
I could throw a football real good . And then the boys was like , o	good	A	POSTVB	fn
dent seat , And I've been doing good at social studies . And then in	good	A	POSTVB	fn
, you know . No I can read very good . Oh ! Dogs , and cats . Oh , well	good	A	POSTVB	fn
fellow . He can't walk too- too good you know . So I come by , be loo	good	A	POSTVB	fn
se I could draw , really really good , and I wanted to be like a art	good	A	POSTVB	fn
ike that , so . Um , I did really good my eleventh grade year , um , up	good	A	POSTVB	fn
, just go to your car , you did good all year . < laugh > Really coach	good	A	POSTVB	fn
st thing . You make sure you do good in school . See my thing is- Ju	good	A	POSTVB	fn
e said , um- He said , I'm doing good in school . And I was like , wel	good	A	POSTVB	fn
ep good at night , you know . I sleep go	good	A	POSTVB	fn
ere . You know , he dresses real good . And you know , he know how to	good	A	POSTVB	fn
And uh , < name > , he dances real good . ` Oh , incidentally , I'm the b	good	A	POSTVB	fn
f all of ' em . So uh , he dances good , and < name > , friend of mine , h	good	A	POSTVB	fn
unning team . They just do both good . None- neither one of ' em they	good	A	POSTVB	fn
e soap operas had just started good . So , we watched those soap ope	good	A	POSTVB	fn
I think they gets along pretty good now . Uh-huh . I really do . Mm-h	good	A	POSTVB	fn
They know- I see he not doing good , so th- this old jacket that I	good	A	POSTVB	fn
cause uh , he- he worked pretty good i- in the community . On things	good	A	POSTVB	fn
he job and he said I did it so good that he said- Like I told you ,	good	A	POSTVB	fn
lt the school and s- they done good . Course it take time , you know	good	A	POSTVB	fn
loats across the ground really good . Yeah . Exactly . Exactly . You s	good	A	POSTVB	fn
your blessing . and you living good , eating good . Going- go to the	good	A	POSTVB	fn
er walk this- you better sleep good , feel good , eat good , this tha	good	A	POSTVB	fn
Mm-hm . Mm-hm . Fixed it all up good . People come down here to work	good	A	POSTVB	fn
actice , uh , I did- I was doing great . Mm-hm , very good . I got a sch	great	A	POSTVB	fn
o fund you cause you didn't do great . Now we're gonna close your sc	great	A	POSTVB	fn
open space school . We learned great . Apparently , children today do	great	A	POSTVB	fn
me in my opinion , and it goes great on chicken . So . My favorite pl	great	A	POSTVB	fn
id Michelle Obama make you eat healthy ? < laugh > Yes . Well I say that	healthy	A	POSTVB	fn
way in school even if you eat healthy when they go home they gonna e	healthy	A	POSTVB	fn
helle Obama , she making us eat healthy . And we wanna choose the way w	healthy	A	POSTVB	fn
se . And I just , um , try to eat healthy and keep my body balanced . Um ,	healthy	A	POSTVB	fn
um , families learn how to eat healthy together , work out together . U	healthy	A	POSTVB	fn
ad the choice every day to eat healthy or eat bad , you know ? And it's	healthy	A	POSTVB	fn
that one . Yeah , I remember it heavy because like , that's when I re	heavy	A	POSTVB	fn
The Bronx is a little bit more heavy laden and- and sort of longate	heavy	A	PREJJ	fn
ing ? Um , so I was never really heavy into it um , but every once in	heavy	A	POSTVB	fn
stuff too , but I remember that heavy . Yeah . < laugh > Uh , boy . Twenty	heavy	A	POSTVB	fn
ity college so we are teaching heavy , five five load . < laugh > Right	heavy	A	POSTVB	fn
acy . Like , what are you doing ? Human development ? Like what it- wha	human	R	A	fp
are we gonna do ? So , I think a largely a- a lot of the money being sp	largely	R	A	fp
the boy- the young boy came in last . And so they kept him in town ,	last	A	POSTVB	fn
hem it , and whoever was tagged last that was it until they could t	last	A	POSTVB	fn
- uh- uh- um . No , not no more . Last stage show . Yeah . At the Howar	last	R	A	fp
r . And then they call her name last , and she'll be the winner . And	last	A	POSTVB	fn
they call- they call her name last . And they'll say it louder and	last	A	POSTVB	fn
um , they call not it , not it . Last person he gets- Like , I count	last	R	A	fp
he got to say , do one first or last or the third one like , um , < ts	last	A	POSTVB	fn
like , whoa . Like , that's nuts . Literally . And- uh , and for me , I was li	literally	A	POSTVB	fn
don't we- we had somebody here local . I said , I worked here < ts > I	local	A	POSTVB	fn
old braids in there , I take it loose and make ' em pony tails . You k	loose	A	POSTVB	fn
- see James Brown sing , say it Loud , I'm Black and I'm Proud . I en	loud	A	POSTVB	fn
at the time . We were saying it loud , black and I'm proud but you k	loud	A	POSTVB	fn
But he don't want you to talk loud . And that's why I like him . He	loud	A	POSTVB	fn
ng over there , so I crowd real loud . < laugh > And he came to my res	loud	A	POSTVB	fn
ut if I say it long enough and loud enough , maybe you know , I get	loud	A	POSTVB	fn
ays singing um we sing it real loud . We say , say it Loud . I'm Blac	loud	A	POSTVB	fn
e laughing . They're talking so loud . Oh , they're this , they're tha	loud	A	POSTVB	fn
lways talking out and laughing loud . < ts > Mm- no . Be quiet . I do m	loud	A	POSTVB	fn
know . < laugh > Am I talking too loud ? I don't know I just- I- I- I-	loud	A	POSTVB	fn
d um , and he used to bark real loud and stuff . And- and chase us a	loud	A	POSTVB	fn
ts > Um Always Together , Say it Loud , I'm Black and I'm Proud and <	loud	A	POSTVB	fn
you know she said we clap too loud . We was whistling and stuff ca	loud	A	POSTVB	fn
-hm . I'm a Aries , very feisty . Loyal . Brooklyn , New York . Don't be-	loyal	R	A	fp
poets , female comedians . It's mad dope . Mm-hm . And it's free . Ye	mad	A	PREVB	fn
' s pretty clean you start your manifest that's your record your trips	manifest	A	NPAM	fn
ly like her . Cause she act too mean . Um , she was strict a lot . < ts	mean	A	POSTVB	fn
he was so high up , so high and mighty . But it was more so he did not	mighty	R	A	fp
s bad as fuck , but it was like mischievous bad , not like- Yeah , I was mis	mischievous	A	PREJJ	fn
window hustling and you acting naive . That's sleeping in the rathol	naive	A	POSTVB	fn
. Yeah , like ( breathy ) it came natural , you know what I'm saying , lik	natural	A	POSTVB	fn
, really . Know . Came very very natural . I see the kids today with the	natural	A	POSTVB	fn
by him . Yeah . I seen him fight natural . Yes I sure have . Out there on	natural	A	POSTVB	fn
use my clothes wouldn't fit as neat as their was , you know . And th	neat	A	POSTVB	fn
ey fit neat but you know , you know how big	neat	A	POSTVB	fn
n that proc- because it can go negative for you like it did with the K	negative	A	POSTVB	fn
t- it turned out really really nice though . Um , maybe a h- close t	nice	A	POSTVB	fn
of hisself . Yeah , if he dress nice . Well I'm take the Barber's Bo	nice	A	POSTVB	fn
. Sure is , coming up real nice . Doing good ain't it ? It sure	nice	A	POSTVB	fn
ink Princeville coming up real nice . Yeah . What I have seen- Mm-hm	nice	A	POSTVB	fn
e is . So good . Just doing real nice cause she's the younger one ev	nice	A	POSTVB	fn
. Yeah- and she is a very very nice acting girl . She try to do her	nice	A	PREVB	fn
ow . And all those kids dressed nice and their families had good jo	nice	A	POSTVB	fn
kids my age . I wanted to dress nice . They were wearing jeans and a	nice	A	POSTVB	fn
like- like that shit came out nice . I freestyled on that bitch . I	nice	A	POSTVB	fn
ut um , < ts > we have- we have a nice built church now . Like , people	nice	A	PREJJ	fn
ey had to hustle . Dressing ' em nice , this that and the other . You	nice	A	POSTVB	fn
ake money . See so I don't live nice , drive , this that and the othe	nice	A	POSTVB	fn
hey can come together and play nice , and it's not all , you know , g	nice	A	POSTVB	fn
e other , and you see how they- nice they dress , this that and the	nice	A	PREVB	fn
that Thursday , sun came out so nice and pretty . And um , so I think	nice	A	POSTVB	fn
tell you that you're ugly real nice , < laugh > just , with a smile to	nice	A	POSTVB	fn
C they like to , uh , be dressed nice , have nice things . Like , hold	nice	A	POSTJJ	fn
hen , and uh , we get along very nice . Matter of fact , he reminded o	nice	A	POSTVB	fn
me a house and furnish it out nice . And I'd buy it in one of the	nice	A	POSTVB	fn
Simon so I started acting real nutty and everything . And so she sai	nutty	A	POSTVB	fn
were one or two that I didn't particular like , but um , we made it throu	particular	A	PREVB	fn
I think if you didn't you just plain had to form a dislike for him	plain	A	PREVB	fn
now , it was- it was still pre- predominantly girls . < laugh > It was a g- it	predominantly	A	POSTVB	fn
l phone number ? Then they call private ? < laugh > It's crazy . < laugh > A	private	A	POSTVB	fn
is is like , seventh or eighth ? Probably eighth grade . Alright . Eighth	probably	A	POSTVB	fn
ars , growing up in DC was fun . Probably yeah . I don't- No . I don't rem	probably	A	POSTVB	fn
Yeah . Oh- oh- When it's cured proper . Mm-hm . Uh , well my favorite s	proper	A	POSTJJ	fn
orant doesn't mean not talking proper . Ignorant means , you know , you	proper	A	POSTVB	fn
int of , well , who said talking proper equates to being a white girl ?	proper	A	POSTVB	fn
ou know , be smart and not talk proper cause trust me I'm- < laugh > I-	proper	A	POSTVB	fn
you had to try to s- speak as proper as possible , you know . I mean ,	proper	A	POSTVB	fn
who- who I would say went more proper , took the business route a lit	proper	A	POSTVB	fn
, well , make sure you say this proper , make sure you don't , you know	proper	A	POSTVB	fn
hose hide when they killed ' em proper . Oh yes . Yes , find ' em in the	proper	A	POSTVB	fn
Got to make sure you follow up proper . And then , you got to learn ab	proper	A	POSTVB	fn
. I said , well you gotta dress punctual . No matter what job it is , you	punctual	A	POSTVB	fn
and she'll jump on you just as quick . Then so uh , it's these childr	quick	A	POSTVB	fn
me to the side , she'll tell me quick , I don't care , you get mad . I	quick	A	POSTVB	fn
based off of how well and how quick you teach them , then I'll teac	quick	A	PREVB	fn
ook me to the gas station real quick . She wouldn't even have to kno	quick	A	POSTVB	fn
ould get my bag filled up real quick . Yeah . < laugh > unintelligible	quick	A	POSTVB	fn
, well yeah , get somebody here quick . So , um , we were gonna try to	quick	A	POSTVB	fn
put his foot in my throat real quick . Like- Because- I'll say I res	quick	A	POSTVB	fn
They will pull you outta class quick and put you on the floor . Oh y	quick	A	POSTVB	fn
t's run through your mind real quick ( laughing ) . I don't really wor	quick	A	POSTVB	fn
g the paper . He had died . That quick . Just like two weeks later . I	quick	A	POSTVB	fn
ess of going to grab something quick to eat . I cook . < laugh > You ca	quick	R	A	fp
time , things got squashed real quick . This dude I guess he thought	quick	A	POSTVB	fn
and I wanna go back home right quick . Nah , you there . And that's ju	quick	A	POSTVB	fn
f , um- Let me answer this real quick . Yeah , he found out about the	quick	A	POSTVB	fn
hink that you know , they learn quick , you know , good watch dogs and	quick	A	POSTVB	fn
o get the hell out of Dodge as quick as I can . So soon as I came ba	quick	A	POSTVB	fn
to- for it to just travel that quick . Because it was such a disaste	quick	A	POSTVB	fn
hey payed their house off real quick because she was at Kodak , and	quick	A	POSTVB	fn
ght , And then she left just as quick as she came . And that was my f	quick	A	POSTVB	fn
im , say job his eyes out right quick . Put his eyes out , you can bea	quick	A	POSTVB	fn
ow , they found that out pretty quick . But , everything else I did , t	quick	A	POSTVB	fn
Can I just say something real quick about what would have done . Ye	quick	A	POSTVB	fn
t goes across the floor really quick . And it's accurate , and you- y	quick	A	POSTVB	fn
the body . It causes cancer so quick . And all these mutations in yo	quick	A	POSTVB	fn
e . My stuff was gone just that quick . Had to start over . That's whe	quick	A	POSTVB	fn
l- And I mean it was just that quick . It's the same day that they o	quick	A	POSTVB	fn
t realizing that really really quick like , oh you know so and so ? Y	quick	A	POSTVB	fn
uff was getting gone just that quick . There was no waking up late .	quick	A	POSTVB	fn
I'm'a go back to clothes right quick , like Guccis , Louis , Ferragamo	quick	A	POSTVB	fn
- w- let me holler at you real quick , you know what I'm saying . We	quick	A	POSTVB	fn
t I just needed something real quick t- I mean , a- to to get someth	quick	A	POSTVB	fn
ldn't understand . It's came so quick . Cause the sun was shining lik	quick	A	POSTVB	fn
y , well I'm going to lay right quiet , and after a while I'll get up	quiet	A	POSTVB	fn
m-hm . That was one of the most racial discrimitory ( laughing ) um , re	racial	A	PREJJ	fn
